"filename", "language", "PHP", "HTML", "JavaScript", "JSON", "CSS", "XML", "Markdown", "Batch", "Shell Script", "SQL", "SCSS", "comment", "blank", "total"
"c:\xampp\htdocs\charity\build\scss\parts\_miscellaneous.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 2, 10
"c:\xampp\htdocs\charity\build\scss\parts\_pages.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 2, 15
"c:\xampp\htdocs\charity\build\scss\parts\_plugins.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 3, 2, 17
"c:\xampp\htdocs\charity\build\scss\parts\adminlte.components.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 4, 21
"c:\xampp\htdocs\charity\build\scss\parts\adminlte.core.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 4, 22
"c:\xampp\htdocs\charity\build\scss\parts\adminlte.extra-components.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 4, 21
"c:\xampp\htdocs\charity\build\scss\parts\adminlte.pages.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 4, 22
"c:\xampp\htdocs\charity\build\scss\parts\adminlte.plugins.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 4, 21
"c:\xampp\htdocs\charity\build\scss\plugins\_bootstrap-slider.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 6, 6, 43
"c:\xampp\htdocs\charity\build\scss\plugins\_bootstrap-switch.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 149, 13, 27, 189
"c:\xampp\htdocs\charity\build\scss\plugins\_fullcalendar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 6, 24, 134
"c:\xampp\htdocs\charity\build\scss\plugins\_icheck-bootstrap.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 5, 8, 51
"c:\xampp\htdocs\charity\build\scss\plugins\_jqvmap.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 4, 3, 22
"c:\xampp\htdocs\charity\build\scss\plugins\_mapael.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 3, 10, 71
"c:\xampp\htdocs\charity\build\scss\plugins\_miscellaneous.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 7, 8, 66
"c:\xampp\htdocs\charity\build\scss\plugins\_mixins.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 5, 12, 75
"c:\xampp\htdocs\charity\build\scss\plugins\_pace.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 170, 4, 38, 212
"c:\xampp\htdocs\charity\build\scss\plugins\_select2.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 242, 21, 55, 318
"c:\xampp\htdocs\charity\build\scss\plugins\_sweetalert2.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 4, 10, 52
"c:\xampp\htdocs\charity\build\scss\plugins\_toastr.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 31, 9, 61
"c:\xampp\htdocs\charity\cause.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\charity\causes.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\xampp\htdocs\charity\classes\DBConnection.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31
"c:\xampp\htdocs\charity\classes\Login.php", "PHP", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 76
"c:\xampp\htdocs\charity\classes\Master.php", "PHP", 412, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 428
"c:\xampp\htdocs\charity\classes\SystemSettings.php", "PHP", 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 148
"c:\xampp\htdocs\charity\classes\Users.php", "PHP", 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 186
"c:\xampp\htdocs\charity\config.php", "PHP", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 49
"c:\xampp\htdocs\charity\database\charity_db.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 139, 0, 114, 59, 312
"c:\xampp\htdocs\charity\dist\css\adminlte.css", "CSS", 0, 0, 0, 0, 27469, 0, 0, 0, 0, 0, 0, 21, 5484, 32974
"c:\xampp\htdocs\charity\dist\css\adminlte.min.css", "CSS", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 10, 0, 12
"c:\xampp\htdocs\charity\dist\css\alt\adminlte.components.css", "CSS", 0, 0, 0, 0, 4960, 0, 0, 0, 0, 0, 0, 8, 1280, 6248
"c:\xampp\htdocs\charity\dist\css\alt\adminlte.components.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 7, 0, 8
"c:\xampp\htdocs\charity\dist\css\alt\adminlte.core.css", "CSS", 0, 0, 0, 0, 15760, 0, 0, 0, 0, 0, 0, 14, 2575, 18349
"c:\xampp\htdocs\charity\dist\css\alt\adminlte.core.min.css", "CSS", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 11, 0, 13
"c:\xampp\htdocs\charity\dist\css\alt\adminlte.extra-components.css", "CSS", 0, 0, 0, 0, 944, 0, 0, 0, 0, 0, 0, 8, 196, 1148
"c:\xampp\htdocs\charity\dist\css\alt\adminlte.extra-components.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 7, 0, 8
"c:\xampp\htdocs\charity\dist\css\alt\adminlte.pages.css", "CSS", 0, 0, 0, 0, 525, 0, 0, 0, 0, 0, 0, 8, 110, 643
"c:\xampp\htdocs\charity\dist\css\alt\adminlte.pages.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 7, 0, 8
"c:\xampp\htdocs\charity\dist\css\alt\adminlte.plugins.css", "CSS", 0, 0, 0, 0, 5250, 0, 0, 0, 0, 0, 0, 16, 1322, 6588
"c:\xampp\htdocs\charity\dist\css\alt\adminlte.plugins.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 7, 0, 8
"c:\xampp\htdocs\charity\dist\css\custom.css", "CSS", 0, 0, 0, 0, 128, 0, 0, 0, 0, 0, 0, 3, 25, 156
"c:\xampp\htdocs\charity\dist\js\.eslintrc.json", "JSON", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 1, 47
"c:\xampp\htdocs\charity\dist\js\adminlte.js", "JavaScript", 0, 0, 1943, 0, 0, 0, 0, 0, 0, 0, 0, 308, 491, 2742
"c:\xampp\htdocs\charity\dist\js\adminlte.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\charity\dist\js\demo.js", "JavaScript", 0, 0, 595, 0, 0, 0, 0, 0, 0, 0, 0, 13, 79, 687
"c:\xampp\htdocs\charity\dist\js\html5-qrcode-scanner.js", "JavaScript", 0, 0, 188, 0, 0, 0, 0, 0, 0, 0, 0, 477, 30, 695
"c:\xampp\htdocs\charity\dist\js\html5-qrcode.js", "JavaScript", 0, 0, 736, 0, 0, 0, 0, 0, 0, 0, 0, 218, 83, 1037
"c:\xampp\htdocs\charity\dist\js\html5-qrcode.min.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 7
"c:\xampp\htdocs\charity\dist\js\pages\dashboard.js", "JavaScript", 0, 0, 216, 0, 0, 0, 0, 0, 0, 0, 0, 30, 22, 268
"c:\xampp\htdocs\charity\dist\js\pages\dashboard2.js", "JavaScript", 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 165, 14, 271
"c:\xampp\htdocs\charity\dist\js\pages\dashboard3.js", "JavaScript", 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 11, 9, 148
"c:\xampp\htdocs\charity\dist\js\pre_loader.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
